Order ID;Segment;Ship Mode;Value
Grand Total;;Standard Class;55942,7865
CA-2011-132010;Home Office;First Class;389,74
CA-2011-136567;Home Office;First Class;2884,37
CA-2011-140165;Home Office;First Class;405,456
CA-2013-149454;Home Office;First Class;10,44
CA-2013-159142;Home Office;First Class;177,78
CA-2013-162159;Home Office;First Class;121,78
CA-2014-121419;Home Office;First Class;771,8
CA-2014-132213;Home Office;First Class;109,968
CA-2014-144456;Home Office;First Class;220,056
CA-2014-155292;Home Office;First Class;204,98
US-2013-158309;Home Office;First Class;3,744
US-2014-162558;Home Office;First Class;2437,672
Grand Total;Home Office;First Class;7737,786
CA-2011-165806;;Same Day;259,29
CA-2012-100769;;Same Day;255,968
CA-2013-136126;;Same Day;261,1
CA-2014-133095;;Same Day;117,62
CA-2014-149146;;Same Day;7,968
US-2013-108504;;Same Day;2075,51
Grand Total;;Same Day;2977,456
CA-2011-157609;;Second Class;471,92
CA-2011-158274;;Second Class;682,91
CA-2012-115847;;Second Class;61,96
CA-2012-133977;;Second Class;3,444
CA-2012-134992;;Second Class;80,38
CA-2012-140830;;Second Class;89,36
CA-2012-153549;;Second Class;1166,92
CA-2013-109344;;Second Class;1127,976
CA-2013-127985;;Second Class;7,04
CA-2013-140977;;Second Class;91,475
CA-2013-149111;;Second Class;55,416
CA-2013-164350;;Second Class;67,56
CA-2014-114055;;Second Class;819,28
CA-2014-141446;;Second Class;18
CA-2014-142671;;Second Class;11,52
CA-2014-148922;;Second Class;684,78
CA-2014-157931;;Second Class;830,24
CA-2014-160899;;Second Class;477,51
US-2012-113327;;Second Class;352,168
US-2013-135209;;Second Class;62,752
US-2013-168620;;Second Class;823,61
US-2014-148768;;Second Class;71,976
US-2014-159205;;Second Class;732,93
Grand Total;;Second Class;8791,127
CA-2011-100293;;Standard Class;91,056
CA-2011-108707;;Standard Class;10,368
CA-2011-120670;;Standard Class;799,92
CA-2011-122217;;Standard Class;111,15
CA-2011-133634;;Standard Class;47,79
CA-2011-134621;;Standard Class;18,24
CA-2011-145317;;Standard Class;23661,228
CA-2011-148285;;Standard Class;22,32
CA-2011-156244;;Standard Class;457,744
CA-2011-167199;;Standard Class;4374,88
CA-2012-102260;;Standard Class;763,508
CA-2012-103135;;Standard Class;525,95
CA-2012-103772;;Standard Class;260,31
CA-2012-110947;;Standard Class;113,1
CA-2012-115091;;Standard Class;75,04
CA-2012-125696;;Standard Class;7,38
CA-2012-128958;;Standard Class;13,12
CA-2012-135510;;Standard Class;67,96
CA-2012-141754;;Standard Class;11,696
CA-2012-145324;;Standard Class;39,96
CA-2012-160059;;Standard Class;6,24
CA-2012-163923;;Standard Class;151,96
CA-2013-100307;;Standard Class;19,44
CA-2013-105662;;Standard Class;270,728
CA-2013-105753;;Standard Class;61,1
CA-2013-110254;;Standard Class;158,81
CA-2013-118934;;Standard Class;16,218
CA-2013-121020;;Standard Class;239,976
CA-2013-123414;;Standard Class;37,264
CA-2013-123533;;Standard Class;392,832
CA-2013-131968;;Standard Class;681,432
CA-2013-134789;;Standard Class;215,84
CA-2013-136322;;Standard Class;74,32
CA-2013-139269;;Standard Class;1311,97
CA-2013-140571;;Standard Class;365,44
CA-2013-146171;;Standard Class;558,24
CA-2013-151155;;Standard Class;34,34
CA-2013-154403;;Standard Class;4,98
CA-2013-155439;;Standard Class;25,92
CA-2013-159212;;Standard Class;273,59
CA-2013-159891;;Standard Class;1396,35
CA-2013-165470;;Standard Class;5,08
CA-2013-169026;;Standard Class;23,34
CA-2014-100412;;Standard Class;141,96
CA-2014-102554;;Standard Class;3,76
CA-2014-110212;;Standard Class;48,9
CA-2014-113558;;Standard Class;729,648
CA-2014-120705;;Standard Class;147,184
CA-2014-124597;;Standard Class;32,088
CA-2014-124898;;Standard Class;184,66
CA-2014-125752;;Standard Class;41,424
CA-2014-127516;;Standard Class;64,784
CA-2014-128475;;Standard Class;71,98
CA-2014-129490;;Standard Class;419,136
CA-2014-129910;;Standard Class;59,76
CA-2014-134096;;Standard Class;399,53
CA-2014-139787;;Standard Class;35,4
CA-2014-146535;;Standard Class;1446,84
CA-2014-148166;;Standard Class;17,856
CA-2014-148404;;Standard Class;1027,21
CA-2014-148474;;Standard Class;544,14
CA-2014-150931;;Standard Class;33,74
CA-2014-151211;;Standard Class;201,09
CA-2014-154123;;Standard Class;27,58
CA-2014-155089;;Standard Class;45,66
CA-2014-159135;;Standard Class;4,3
CA-2014-159667;;Standard Class;691,144
CA-2014-160423;;Standard Class;383,992
CA-2014-161088;;Standard Class;29,84
CA-2014-162033;;Standard Class;57,01
CA-2014-165904;;Standard Class;235,44
US-2011-125521;;Standard Class;1139,92
US-2011-138835;;Standard Class;9,64
US-2011-155502;;Standard Class;944,61
US-2011-155817;;Standard Class;67,76
US-2013-108637;;Standard Class;334,2
US-2013-109260;;Standard Class;431,976
US-2013-123750;;Standard Class;895,06
US-2013-139262;;Standard Class;471,078
US-2013-146570;;Standard Class;612,14
US-2013-155404;;Standard Class;13,28
US-2014-100930;;Standard Class;1735,8505
US-2014-108315;;Standard Class;225,546
US-2014-114356;;Standard Class;35,96
US-2014-120390;;Standard Class;1633,188
US-2014-129224;;Standard Class;4,608
US-2014-132031;;Standard Class;513,496
US-2014-132297;;Standard Class;598,31
US-2014-132675;;Standard Class;148,16
US-2014-156083;;Standard Class;9,664
Grand Total;;Standard Class;54748,6325
